project_external_id,area_external_id,unit_external_id,source_system,source_instance_id,unit_code,subdivision,subdivision_raw,tower,floor,unit_number,unit_type_raw,gross_area_sqm,net_area_sqm,standard_price_vnd,loan_price_vnd,agency_name,unit_type_normalized,bedrooms,bathrooms,price_per_sqm_gross_vnd,price_per_sqm_net_vnd,area_efficiency_ratio,loan_premium_pct,floor_band,direction,balcony_direction,view,corner_unit_proxy,unit_status,lead_count,qualified_lead_count,booking_count,reservation_count,first_lead_at,first_booking_at,reserved_at,sold_at,days_to_first_lead,days_to_reserve,days_to_sell,source_revision,mirrored_revision,mirrored_at,data_profile,agency_name_origin,has_lead,has_booking,has_reservation,is_sold,stacking_price_million_vnd,project_name,project_status,project_launch_date,area_name,area_unit_type,area_bedrooms,area_sqm,area_total_units,area_status,last_sync_batch_id,deal_external_id,deal_status,deal_source_revision,deal_created_at,deal_updated_at,lost_at,deal_lifecycle_stage,physical_features_origin,crm_signals_origin
P-0001,A-0003,U-0011,mini_crm,mini-crm-dev,A1.13.15,Lusso Saigon,LUSSO,A1,13,15,3 PN,82.93,74.31,4989688737,5478678233,VNL,3PN,3,2,66063888,73727335,0.8961,9.8,mid,Nam,Tây,Nội khu,True,sold,3,3,1,1,2025-07-15,2025-07-24,2025-08-06,2025-09-08,44,66,99,1,1,2025-05-31T00:00:00+00:00,demo,synthetic,1,1,1,1,4990,La Pura,active,2025-06-08,Lusso Saigon,3 PN,3,74.82,19,active,seed-batch-units-001,D-0006,sold,1,2025-07-24T09:00:00+07:00,2025-09-08T17:00:00+07:00,1970-01-01T00:00:00+00:00,sold,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel
P-0001,A-0003,U-0012,mini_crm,mini-crm-dev,A1.17.02,Lusso Saigon,LUSSO,A1,17,2,3 PN,76.31,67.51,4659218373,5115821774,VNL,3PN,3,2,67039992,75778726,0.8847,9.8,mid,Nam,Tây,Thành phố,True,sold,3,3,1,1,2025-07-16,2025-08-04,2025-08-17,2025-09-29,45,77,120,1,1,2025-05-31T00:00:00+00:00,demo,synthetic,1,1,1,1,4659,La Pura,active,2025-06-08,Lusso Saigon,3 PN,3,74.82,19,active,seed-batch-units-001,D-0007,sold,1,2025-08-04T09:00:00+07:00,2025-09-29T17:00:00+07:00,1970-01-01T00:00:00+00:00,sold,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel
P-0001,A-0005,U-0013,mini_crm,mini-crm-dev,A1.19.05,Lusso Saigon,LUSSO,A1,19,5,Căn hộ Loft,62.19,56.37,3535793361,3882301110,VNL,Loft,2,2,62426453,68871760,0.9064,9.8,mid,Đông,Nam,Toàn cảnh,False,available,2,1,0,0,2025-07-10,NO_BOOKING,NO_RESERVATION,NOT_SOLD,39,-1,-1,1,1,2025-05-31T00:00:00+00:00,demo,synthetic,1,0,0,0,3536,La Pura,active,2025-06-08,Lusso Saigon,Căn hộ Loft,2,60.1,4,active,seed-batch-units-001,0,no_deal,0,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,lead,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel
P-0001,A-0005,U-0014,mini_crm,mini-crm-dev,A1.19.10,Lusso Saigon,LUSSO,A1,19,10,Căn hộ Loft,67.79,60.15,4166553799,4574876072,VNL,Loft,2,2,67486002,76057790,0.8873,9.8,mid,Đông,Nam,Thành phố,False,available,0,0,0,0,NO_LEAD,NO_BOOKING,NO_RESERVATION,NOT_SOLD,-1,-1,-1,1,1,2025-05-31T00:00:00+00:00,demo,synthetic,0,0,0,0,4167,La Pura,active,2025-06-08,Lusso Saigon,Căn hộ Loft,2,60.1,4,active,seed-batch-units-001,0,no_deal,0,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,no_lead,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel
P-0001,A-0002,U-0015,mini_crm,mini-crm-dev,A1.22.05,Lusso Saigon,LUSSO,A1,22,5,2 PN,61.98,56.56,2901014223,3185313616,Cas,2PN,2,2,51392604,56317426,0.9126,9.8,mid,Đông,Nam,Toàn cảnh,False,available,1,0,0,0,2025-07-18,NO_BOOKING,NO_RESERVATION,NOT_SOLD,47,-1,-1,1,1,2025-05-31T00:00:00+00:00,demo,observed,1,0,0,0,2901,La Pura,active,2025-06-08,Lusso Saigon,2 PN,2,56.56,25,active,seed-batch-units-001,0,no_deal,0,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,lead,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel
P-0001,A-0003,U-0016,mini_crm,mini-crm-dev,A1.23.02,Lusso Saigon,LUSSO,A1,23,2,3 PN,76.39,68.12,4735406084,5199475880,VNL,3PN,3,2,68064876,76328184,0.8917,9.8,mid,Nam,Tây,Thành phố,True,sold,6,5,1,1,2025-07-09,2025-07-16,2025-07-22,2025-08-02,38,51,62,1,1,2025-05-31T00:00:00+00:00,demo,synthetic,1,1,1,1,4735,La Pura,active,2025-06-08,Lusso Saigon,3 PN,3,74.82,19,active,seed-batch-units-001,D-0008,sold,1,2025-07-16T09:00:00+07:00,2025-08-02T17:00:00+07:00,1970-01-01T00:00:00+00:00,sold,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel
P-0001,A-0003,U-0017,mini_crm,mini-crm-dev,A1.25.15,Lusso Saigon,LUSSO,A1,25,15,3 PN,83.01,74.82,5149798922,5654479216,VNL,3PN,3,2,68118049,75574435,0.9013,9.8,mid,Nam,Tây,Nội khu,True,available,1,0,0,0,2025-07-17,NO_BOOKING,NO_RESERVATION,NOT_SOLD,46,-1,-1,1,1,2025-05-31T00:00:00+00:00,demo,synthetic,1,0,0,0,5150,La Pura,active,2025-06-08,Lusso Saigon,3 PN,3,74.82,19,active,seed-batch-units-001,0,no_deal,0,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,lead,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel
P-0001,A-0003,U-0018,mini_crm,mini-crm-dev,A1.28.15,Lusso Saigon,LUSSO,A1,28,15,3 PN,83.01,74.82,5188684074,5697175113,VNL,3PN,3,2,68632395,76145083,0.9013,9.8,high,Nam,Tây,Thành phố,True,reserved,5,4,1,1,2025-07-06,2025-07-12,2025-07-17,NOT_SOLD,35,46,-1,1,1,2025-05-31T00:00:00+00:00,demo,synthetic,1,1,1,0,5189,La Pura,active,2025-06-08,Lusso Saigon,3 PN,3,74.82,19,active,seed-batch-units-001,D-0009,reserved,1,2025-07-12T09:00:00+07:00,2025-07-17T17:00:00+07:00,1970-01-01T00:00:00+00:00,reserved,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel
P-0001,A-0002,U-0019,mini_crm,mini-crm-dev,A1.29.05,Lusso Saigon,LUSSO,A1,29,5,2 PN,61.98,56.56,2839726820,3118020048,AKH,2PN,2,2,50306874,55127653,0.9126,9.8,high,Đông,Nam,Toàn cảnh,False,available,2,1,0,0,2025-07-15,NO_BOOKING,NO_RESERVATION,NOT_SOLD,44,-1,-1,1,1,2025-05-31T00:00:00+00:00,demo,observed,1,0,0,0,2840,La Pura,active,2025-06-08,Lusso Saigon,2 PN,2,56.56,25,active,seed-batch-units-001,0,no_deal,0,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,lead,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel
P-0001,A-0002,U-0020,mini_crm,mini-crm-dev,A1.32.14,Lusso Saigon,LUSSO,A1,32,14,2 PN,62.86,57.1,2671188454,2932964922,VSH,2PN,2,2,46658685,51365410,0.9084,9.8,high,Bắc,Đông,Hồ bơi,False,sold,3,2,1,1,2025-07-13,2025-07-17,2025-07-20,2025-07-28,42,49,57,1,1,2025-05-31T00:00:00+00:00,demo,observed,1,1,1,1,2671,La Pura,active,2025-06-08,Lusso Saigon,2 PN,2,56.56,25,active,seed-batch-units-001,D-0010,sold,1,2025-07-17T09:00:00+07:00,2025-07-28T17:00:00+07:00,1970-01-01T00:00:00+00:00,sold,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel
P-0001,A-0003,U-0021,mini_crm,mini-crm-dev,A1.34.02,Lusso Saigon,LUSSO,A1,34,2,3 PN,76.39,68.56,4866614389,5343542600,VNL,3PN,3,2,69950813,77939653,0.8975,9.8,high,Nam,Tây,Thành phố,True,sold,6,3,1,1,2025-07-19,2025-07-26,2025-08-11,2025-08-22,48,71,82,1,1,2025-05-31T00:00:00+00:00,demo,synthetic,1,1,1,1,4867,La Pura,active,2025-06-08,Lusso Saigon,3 PN,3,74.82,19,active,seed-batch-units-001,D-0011,sold,1,2025-07-26T09:00:00+07:00,2025-08-22T17:00:00+07:00,1970-01-01T00:00:00+00:00,sold,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel
P-0001,A-0003,U-0022,mini_crm,mini-crm-dev,A1.35.15,Lusso Saigon,LUSSO,A1,35,15,3 PN,83.01,75.24,5279416095,5796798872,VNL,3PN,3,2,69832537,77044110,0.9064,9.8,high,Nam,Tây,Thành phố,True,available,2,1,0,0,2025-07-06,NO_BOOKING,NO_RESERVATION,NOT_SOLD,35,-1,-1,1,1,2025-05-31T00:00:00+00:00,demo,synthetic,1,0,0,0,5279,La Pura,active,2025-06-08,Lusso Saigon,3 PN,3,74.82,19,active,seed-batch-units-001,0,no_deal,0,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,lead,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel
P-0001,A-0002,U-0023,mini_crm,mini-crm-dev,A1.37.05,Lusso Saigon,LUSSO,A1,37,5,2 PN,61.92,56.8,2767071106,3038244074,HBL,2PN,2,2,49067249,53490213,0.9173,9.8,high,Đông,Nam,Toàn cảnh,False,available,3,2,0,0,2025-07-26,NO_BOOKING,NO_RESERVATION,NOT_SOLD,55,-1,-1,1,1,2025-05-31T00:00:00+00:00,demo,observed,1,0,0,0,2767,La Pura,active,2025-06-08,Lusso Saigon,2 PN,2,56.56,25,active,seed-batch-units-001,0,no_deal,0,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,lead,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel
P-0001,A-0003,U-0024,mini_crm,mini-crm-dev,A2.05.02,Lusso Saigon,LUSSO,A2,5,2,3 PN,82.85,73.64,4889514574,5368687002,AKH,3PN,3,2,64800085,72904495,0.8888,9.8,low,Nam,Tây,Hồ bơi,True,available,3,2,0,0,2025-07-13,NO_BOOKING,NO_RESERVATION,NOT_SOLD,42,-1,-1,1,1,2025-05-31T00:00:00+00:00,demo,synthetic,1,0,0,0,4890,La Pura,active,2025-06-08,Lusso Saigon,3 PN,3,74.82,19,active,seed-batch-units-001,0,no_deal,0,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,lead,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel
P-0001,A-0001,U-0025,mini_crm,mini-crm-dev,A2.05.11,Lusso Saigon,LUSSO,A2,5,11,1 PN+,56.85,51.66,2982907435,3275232364,AKH,1PN+,1,1,57611827,63399775,0.9087,9.8,low,Đông Bắc,Đông Nam,Cảnh quan nội khu,False,available,1,0,0,0,2025-07-23,NO_BOOKING,NO_RESERVATION,NOT_SOLD,52,-1,-1,1,1,2025-05-31T00:00:00+00:00,demo,synthetic,1,0,0,0,2983,La Pura,active,2025-06-08,Lusso Saigon,1 PN+,1,51.66,7,active,seed-batch-units-001,0,no_deal,0,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,lead,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel
P-0001,A-0002,U-0026,mini_crm,mini-crm-dev,A2.05.12,Lusso Saigon,LUSSO,A2,5,12,2 PN,66.45,59.61,3419980863,3755138988,AKH,2PN,2,2,56510745,62995118,0.8971,9.8,low,Nam,Tây,Nội khu,False,reserved,6,2,1,1,2025-07-14,2025-07-26,2025-08-01,NOT_SOLD,43,61,-1,1,1,2025-05-31T00:00:00+00:00,demo,synthetic,1,1,1,0,3420,La Pura,active,2025-06-08,Lusso Saigon,2 PN,2,56.56,25,active,seed-batch-units-001,D-0012,reserved,1,2025-07-26T09:00:00+07:00,2025-08-01T17:00:00+07:00,1970-01-01T00:00:00+00:00,reserved,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel
P-0001,A-0002,U-0027,mini_crm,mini-crm-dev,A2.05.13,Lusso Saigon,LUSSO,A2,5,13,2 PN,66.45,59.61,3365247458,3695041709,AKH,2PN,2,2,55606346,61986944,0.8971,9.8,low,Bắc,Đông,Nội khu,False,sold,5,4,1,1,2025-07-13,2025-07-24,2025-07-29,2025-09-02,42,58,93,1,1,2025-05-31T00:00:00+00:00,demo,synthetic,1,1,1,1,3365,La Pura,active,2025-06-08,Lusso Saigon,2 PN,2,56.56,25,active,seed-batch-units-001,D-0013,sold,1,2025-07-24T09:00:00+07:00,2025-09-02T17:00:00+07:00,1970-01-01T00:00:00+00:00,sold,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel
P-0001,A-0002,U-0028,mini_crm,mini-crm-dev,A2.05.14,Lusso Saigon,LUSSO,A2,5,14,2 PN,67.04,59.77,3394501146,3727162258,AKH,2PN,2,2,55596096,62358412,0.8916,9.8,low,Tây Nam,Tây Bắc,Hồ bơi,False,available,3,2,0,0,2025-07-14,NO_BOOKING,NO_RESERVATION,NOT_SOLD,43,-1,-1,1,1,2025-05-31T00:00:00+00:00,demo,synthetic,1,0,0,0,3395,La Pura,active,2025-06-08,Lusso Saigon,2 PN,2,56.56,25,active,seed-batch-units-001,0,no_deal,0,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,lead,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel
P-0001,A-0001,U-0029,mini_crm,mini-crm-dev,A2.06.11,Lusso Saigon,LUSSO,A2,6,11,1 PN+,56.85,51.66,2990938111,3284050045,AKH,1PN+,1,1,57766931,63570462,0.9087,9.8,low,Đông Bắc,Đông Nam,Cảnh quan nội khu,False,reserved,3,2,1,1,2025-07-12,2025-07-21,2025-07-24,NOT_SOLD,41,53,-1,1,1,2025-05-31T00:00:00+00:00,demo,synthetic,1,1,1,0,2991,La Pura,active,2025-06-08,Lusso Saigon,1 PN+,1,51.66,7,active,seed-batch-units-001,D-0014,reserved,1,2025-07-21T09:00:00+07:00,2025-07-24T17:00:00+07:00,1970-01-01T00:00:00+00:00,reserved,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel
P-0001,A-0002,U-0030,mini_crm,mini-crm-dev,A2.06.13,Lusso Saigon,LUSSO,A2,6,13,2 PN,66.45,59.61,3374634237,3705348392,AKH,2PN,2,2,55761451,62159846,0.8971,9.8,low,Bắc,Đông,Nội khu,False,reserved,6,4,1,1,2025-07-19,2025-07-31,2025-08-11,NOT_SOLD,48,71,-1,1,1,2025-05-31T00:00:00+00:00,demo,synthetic,1,1,1,0,3375,La Pura,active,2025-06-08,Lusso Saigon,2 PN,2,56.56,25,active,seed-batch-units-001,D-0015,reserved,1,2025-07-31T09:00:00+07:00,2025-08-11T17:00:00+07:00,1970-01-01T00:00:00+00:00,reserved,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel
P-0001,A-0001,U-0031,mini_crm,mini-crm-dev,A2.07.11,Lusso Saigon,LUSSO,A2,7,11,1 PN+,56.85,51.66,2998968786,3292867727,AKH,1PN+,1,1,57922036,63741148,0.9087,9.8,low,Đông Bắc,Đông Nam,Cảnh quan nội khu,False,sold,5,4,1,1,2025-07-24,2025-07-30,2025-08-14,2025-09-13,53,74,104,1,1,2025-05-31T00:00:00+00:00,demo,synthetic,1,1,1,1,2999,La Pura,active,2025-06-08,Lusso Saigon,1 PN+,1,51.66,7,active,seed-batch-units-001,D-0016,sold,1,2025-07-30T09:00:00+07:00,2025-09-13T17:00:00+07:00,1970-01-01T00:00:00+00:00,sold,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel
P-0001,A-0002,U-0032,mini_crm,mini-crm-dev,A2.07.13,Lusso Saigon,LUSSO,A2,7,13,2 PN,66.45,59.61,3384021016,3715655075,AKH,2PN,2,2,55916555,62332747,0.8971,9.8,low,Bắc,Đông,Nội khu,False,sold,5,4,1,1,2025-07-23,2025-08-13,2025-08-28,2025-09-22,52,88,113,1,1,2025-05-31T00:00:00+00:00,demo,synthetic,1,1,1,1,3384,La Pura,active,2025-06-08,Lusso Saigon,2 PN,2,56.56,25,active,seed-batch-units-001,D-0017,sold,1,2025-08-13T09:00:00+07:00,2025-09-22T17:00:00+07:00,1970-01-01T00:00:00+00:00,sold,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel
P-0001,A-0003,U-0033,mini_crm,mini-crm-dev,A2.07.15,Lusso Saigon,LUSSO,A2,7,15,3 PN,88.96,79.59,5502234542,6041453527,AKH,3PN,3,2,67912023,75907193,0.8947,9.8,low,Bắc,Đông,Cảnh quan nội khu,True,reserved,5,4,1,1,2025-07-10,2025-07-31,2025-08-10,NOT_SOLD,39,70,-1,1,1,2025-05-31T00:00:00+00:00,demo,synthetic,1,1,1,0,5502,La Pura,active,2025-06-08,Lusso Saigon,3 PN,3,74.82,19,active,seed-batch-units-001,D-0018,reserved,1,2025-07-31T09:00:00+07:00,2025-08-10T17:00:00+07:00,1970-01-01T00:00:00+00:00,reserved,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel
P-0001,A-0002,U-0034,mini_crm,mini-crm-dev,A2.08.04,Lusso Saigon,LUSSO,A2,8,4,2 PN,63.1,55.43,2920694854,3206922949,AKH,2PN,2,2,50822868,57855366,0.8784,9.8,low,Nam,Tây,Hồ bơi,False,reserved,2,1,1,1,2025-07-11,2025-07-14,2025-07-16,NOT_SOLD,40,45,-1,1,1,2025-05-31T00:00:00+00:00,demo,synthetic,1,1,1,0,2921,La Pura,active,2025-06-08,Lusso Saigon,2 PN,2,56.56,25,active,seed-batch-units-001,D-0019,reserved,1,2025-07-14T09:00:00+07:00,2025-07-16T17:00:00+07:00,1970-01-01T00:00:00+00:00,reserved,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel
P-0001,A-0001,U-0035,mini_crm,mini-crm-dev,A2.09.11,Lusso Saigon,LUSSO,A2,9,11,1 PN+,56.85,51.66,3015030137,3310503090,AKH,1PN+,1,1,58232244,64082522,0.9087,9.8,low,Đông Bắc,Đông Nam,Cảnh quan nội khu,False,available,2,1,0,0,2025-07-19,NO_BOOKING,NO_RESERVATION,NOT_SOLD,48,-1,-1,1,1,2025-05-31T00:00:00+00:00,demo,synthetic,1,0,0,0,3015,La Pura,active,2025-06-08,Lusso Saigon,1 PN+,1,51.66,7,active,seed-batch-units-001,0,no_deal,0,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,lead,synthetic_v1_tower_stack_floor_band,synthetic_v1_causal_funnel
